gene_id	coding_length	SYMBOL	DESCRIPTION	Var
ENSMUSG00000024666	2360	Tmem138	transmembrane protein 138 [Source:MGI Symbol;Acc:MGI:1920232]	8513.02717391304
ENSMUSG00000024667	3281	Tmem216	transmembrane protein 216 [Source:MGI Symbol;Acc:MGI:1920020]	773.201086956522
ENSMUSG00000024668	7195	Sdhaf2	succinate dehydrogenase complex assembly factor 2 [Source:MGI Symbol;Acc:MGI:1913322]	14310.0869565217
ENSMUSG00000024672	4453	Ms4a7	membrane-spanning 4-domains, subfamily A, member 7 [Source:MGI Symbol;Acc:MGI:1918846]	160.927536231884
ENSMUSG00000024675	1751	Ms4a4c	membrane-spanning 4-domains, subfamily A, member 4C [Source:MGI Symbol;Acc:MGI:1927656]	547.824275362319
ENSMUSG00000024677	4485	Ms4a6b	membrane-spanning 4-domains, subfamily A, member 6B [Source:MGI Symbol;Acc:MGI:1917024]	605.114130434783
ENSMUSG00000024679	1735	Ms4a6d	membrane-spanning 4-domains, subfamily A, member 6D [Source:MGI Symbol;Acc:MGI:1916024]	5183.99275362319
ENSMUSG00000024683	3169	Mrpl16	mitochondrial ribosomal protein L16 [Source:MGI Symbol;Acc:MGI:2137219]	4158.17210144928
ENSMUSG00000024687	4488	Osbp	oxysterol binding protein [Source:MGI Symbol;Acc:MGI:97447]	120151.731884058
ENSMUSG00000024691	4125	Fam111a	family with sequence similarity 111, member A [Source:MGI Symbol;Acc:MGI:1915508]	51630.7807971014
ENSMUSG00000024695	9199	Zfp91	zinc finger protein 91 [Source:MGI Symbol;Acc:MGI:104854]	124929.992753623
ENSMUSG00000024696	1790	Lpxn	leupaxin [Source:MGI Symbol;Acc:MGI:2147677]	64.2590579710145
ENSMUSG00000024697	3434	Gna14	guanine nucleotide binding protein, alpha 14 [Source:MGI Symbol;Acc:MGI:95769]	5450.78260869565
ENSMUSG00000024712	2603	Rfk	riboflavin kinase [Source:MGI Symbol;Acc:MGI:1914688]	43985.1286231884
ENSMUSG00000024713	14447	Pcsk5	proprotein convertase subtilisin/kexin type 5 [Source:MGI Symbol;Acc:MGI:97515]	49308.5634057971
ENSMUSG00000024725	5110	Ostf1	osteoclast stimulating factor 1 [Source:MGI Symbol;Acc:MGI:700012]	17456.231884058
ENSMUSG00000024726	4807	Carnmt1	carnosine N-methyltransferase 1 [Source:MGI Symbol;Acc:MGI:1914633]	46634.5144927536
ENSMUSG00000024727	7719	Trpm6	transient receptor potential cation channel, subfamily M, member 6 [Source:MGI Symbol;Acc:MGI:2675603]	14862.4329710145
ENSMUSG00000024730	1795	Ms4a8a	membrane-spanning 4-domains, subfamily A, member 8A [Source:MGI Symbol;Acc:MGI:1927657]	112.288043478261
ENSMUSG00000024732	5774	Ccdc86	coiled-coil domain containing 86 [Source:MGI Symbol;Acc:MGI:1277220]	30201.6449275362
ENSMUSG00000024735	7278	Prpf19	pre-mRNA processing factor 19 [Source:MGI Symbol;Acc:MGI:106247]	180213.89673913
ENSMUSG00000024736	4548	Tmem132a	transmembrane protein 132A [Source:MGI Symbol;Acc:MGI:2147810]	78410.3188405797
ENSMUSG00000024737	5491	Slc15a3	solute carrier family 15, member 3 [Source:MGI Symbol;Acc:MGI:1929691]	7383.89673913043
ENSMUSG00000024740	6409	Ddb1	damage specific DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1202384]	9444645.99275362
ENSMUSG00000024742	2422	Fen1	flap structure specific endonuclease 1 [Source:MGI Symbol;Acc:MGI:102779]	36749.259057971
ENSMUSG00000024743	7487	Syt7	synaptotagmin VII [Source:MGI Symbol;Acc:MGI:1859545]	21547.606884058
ENSMUSG00000024747	2066	Aldh1a7	aldehyde dehydrogenase family 1, subfamily A7 [Source:MGI Symbol;Acc:MGI:1347050]	100269.041666667
ENSMUSG00000024750	10751	Zfand5	zinc finger, AN1-type domain 5 [Source:MGI Symbol;Acc:MGI:1278334]	1053804.49275362
ENSMUSG00000024754	8520	Cemip2	cell migration inducing hyaluronidase 2 [Source:MGI Symbol;Acc:MGI:1890373]	314075.780797101
ENSMUSG00000024758	5022	Rtn3	reticulon 3 [Source:MGI Symbol;Acc:MGI:1339970]	2760664.98369565
ENSMUSG00000024759	10099	Atl3	atlastin GTPase 3 [Source:MGI Symbol;Acc:MGI:1924270]	204437.014492754
ENSMUSG00000024764	9028	Naa40	N(alpha)-acetyltransferase 40, NatD catalytic subunit [Source:MGI Symbol;Acc:MGI:1918249]	50997.0362318841
ENSMUSG00000024766	5007	Lipo3	lipase, member O3 [Source:MGI Symbol;Acc:MGI:2147592]	3702.33152173913
ENSMUSG00000024767	2545	Otub1	OTU domain, ubiquitin aldehyde binding 1 [Source:MGI Symbol;Acc:MGI:2147616]	148258.173913043
ENSMUSG00000024769	6099	Cdc42bpg	CDC42 binding protein kinase gamma (DMPK-like) [Source:MGI Symbol;Acc:MGI:2652845]	17021.6449275362
ENSMUSG00000024772	3705	Ehd1	EH-domain containing 1 [Source:MGI Symbol;Acc:MGI:1341878]	1512172.34057971
ENSMUSG00000024773	7693	Atg2a	autophagy related 2A [Source:MGI Symbol;Acc:MGI:1916291]	27486.9275362319
ENSMUSG00000024776	5557	Stambpl1	STAM binding protein like 1 [Source:MGI Symbol;Acc:MGI:1923880]	745.81884057971
ENSMUSG00000024777	3372	Ppp2r5b	protein phosphatase 2, regulatory subunit B', beta [Source:MGI Symbol;Acc:MGI:2388480]	231422.563405797
ENSMUSG00000024778	2062	Fas	Fas (TNF receptor superfamily member 6) [Source:MGI Symbol;Acc:MGI:95484]	43743.0416666667
ENSMUSG00000024780	12214	Cdc37l1	cell division cycle 37-like 1 [Source:MGI Symbol;Acc:MGI:1914322]	350019.586956522
ENSMUSG00000024781	6780	Lipa	lysosomal acid lipase A [Source:MGI Symbol;Acc:MGI:96789]	287383.505434783
ENSMUSG00000024782	3120	Ak3	adenylate kinase 3 [Source:MGI Symbol;Acc:MGI:1860835]	99398.9565217391
ENSMUSG00000024784	770	Gpha2	glycoprotein hormone alpha 2 [Source:MGI Symbol;Acc:MGI:2156541]	17.8840579710145
ENSMUSG00000024785	1889	Rcl1	RNA terminal phosphate cyclase-like 1 [Source:MGI Symbol;Acc:MGI:1913275]	17552.0217391304
ENSMUSG00000024787	2293	Snx15	sorting nexin 15 [Source:MGI Symbol;Acc:MGI:1916274]	2377.82608695652
ENSMUSG00000024789	5030	Jak2	Janus kinase 2 [Source:MGI Symbol;Acc:MGI:96629]	112909.217391304
ENSMUSG00000024790	1442	Sac3d1	SAC3 domain containing 1 [Source:MGI Symbol;Acc:MGI:1913656]	1503.21557971014
ENSMUSG00000024791	2129	Cdca5	cell division cycle associated 5 [Source:MGI Symbol;Acc:MGI:1915099]	1824.20108695652
ENSMUSG00000024792	1810	Zfpl1	zinc finger like protein 1 [Source:MGI Symbol;Acc:MGI:1891017]	3472.12862318841
ENSMUSG00000024793	2277	Tnfrsf25	tumor necrosis factor receptor superfamily, member 25 [Source:MGI Symbol;Acc:MGI:1934667]	2380.95471014493
ENSMUSG00000024795	6957	Kif20b	kinesin family member 20B [Source:MGI Symbol;Acc:MGI:2444576]	17845.5054347826
ENSMUSG00000024797	4520	Vps51	VPS51 GARP complex subunit [Source:MGI Symbol;Acc:MGI:1915755]	6620.84057971014
ENSMUSG00000024798	3399	Htr7	5-hydroxytryptamine (serotonin) receptor 7 [Source:MGI Symbol;Acc:MGI:99841]	71.6938405797101
ENSMUSG00000024799	4403	Tm7sf2	transmembrane 7 superfamily member 2 [Source:MGI Symbol;Acc:MGI:1920416]	1778.72282608696
ENSMUSG00000024800	4179	Rpp30	ribonuclease P/MRP 30 subunit [Source:MGI Symbol;Acc:MGI:1859683]	1182.50543478261
ENSMUSG00000024803	2886	Ankrd1	ankyrin repeat domain 1 (cardiac muscle) [Source:MGI Symbol;Acc:MGI:1097717]	281032.862318841
ENSMUSG00000024805	12629	Pcgf5	polycomb group ring finger 5 [Source:MGI Symbol;Acc:MGI:1923505]	21676.0579710145
ENSMUSG00000024806	1057	Mlana	melan-A [Source:MGI Symbol;Acc:MGI:108454]	42089.027173913
ENSMUSG00000024807	4859	Syvn1	synovial apoptosis inhibitor 1, synoviolin [Source:MGI Symbol;Acc:MGI:1921376]	42571.0416666667
ENSMUSG00000024810	2886	Il33	interleukin 33 [Source:MGI Symbol;Acc:MGI:1924375]	5949110.02173913
ENSMUSG00000024811	10406	Tnks2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2 [Source:MGI Symbol;Acc:MGI:1921743]	421446.057971014
ENSMUSG00000024812	6199	Tjp2	tight junction protein 2 [Source:MGI Symbol;Acc:MGI:1341872]	1739835.375
ENSMUSG00000024816	5082	Frmd8	FERM domain containing 8 [Source:MGI Symbol;Acc:MGI:1914707]	40726.4927536232
ENSMUSG00000024817	8590	Uhrf2	ubiquitin-like, containing PHD and RING finger domains 2 [Source:MGI Symbol;Acc:MGI:1923718]	25779.7971014493
ENSMUSG00000024818	2762	Slc25a45	solute carrier family 25, member 45 [Source:MGI Symbol;Acc:MGI:2147731]	262.650362318841
ENSMUSG00000024824	2362	Rad9a	RAD9 checkpoint clamp component A [Source:MGI Symbol;Acc:MGI:1328356]	11823.2971014493
ENSMUSG00000024826	6501	Dpf2	D4, zinc and double PHD fingers family 2 [Source:MGI Symbol;Acc:MGI:109529]	71883.0416666667
ENSMUSG00000024827	6091	Gldc	glycine decarboxylase [Source:MGI Symbol;Acc:MGI:1341155]	1496578.02717391
ENSMUSG00000024829	2011	Mrpl21	mitochondrial ribosomal protein L21 [Source:MGI Symbol;Acc:MGI:2660674]	4771.53623188406
ENSMUSG00000024830	5167	Rps6kb2	ribosomal protein S6 kinase, polypeptide 2 [Source:MGI Symbol;Acc:MGI:1927343]	3711.9981884058
ENSMUSG00000024831	5949	Ighmbp2	immunoglobulin mu binding protein 2 [Source:MGI Symbol;Acc:MGI:99954]	4351.95471014493
ENSMUSG00000024833	8294	Pola2	polymerase (DNA directed), alpha 2 [Source:MGI Symbol;Acc:MGI:99690]	27599.1141304348
ENSMUSG00000024835	3204	Coro1b	coronin, actin binding protein 1B [Source:MGI Symbol;Acc:MGI:1345963]	57093.5652173913
ENSMUSG00000024841	2792	Eif1ad	eukaryotic translation initiation factor 1A domain containing [Source:MGI Symbol;Acc:MGI:1917110]	27052.4057971014
ENSMUSG00000024842	3518	Cabp4	calcium binding protein 4 [Source:MGI Symbol;Acc:MGI:1920910]	13085.1014492754
ENSMUSG00000024843	12024	Chka	choline kinase alpha [Source:MGI Symbol;Acc:MGI:107760]	18208006.7753623
ENSMUSG00000024844	1496	Banf1	barrier to autointegration factor 1 [Source:MGI Symbol;Acc:MGI:1346330]	44379.1576086957
ENSMUSG00000024845	4601	Tmem134	transmembrane protein 134 [Source:MGI Symbol;Acc:MGI:1914240]	14233.3894927536
ENSMUSG00000024847	1991	Aip	aryl-hydrocarbon receptor-interacting protein [Source:MGI Symbol;Acc:MGI:109622]	10322.6884057971
ENSMUSG00000024851	7030	Pitpnm1	phosphatidylinositol transfer protein, membrane-associated 1 [Source:MGI Symbol;Acc:MGI:1197524]	359101.476449275
ENSMUSG00000024853	6822	Sf3b2	splicing factor 3b, subunit 2 [Source:MGI Symbol;Acc:MGI:2441856]	6340920.60144928
ENSMUSG00000024854	1164	Pold4	polymerase (DNA-directed), delta 4 [Source:MGI Symbol;Acc:MGI:1916995]	8538.14492753623
ENSMUSG00000024855	6027	Pacs1	phosphofurin acidic cluster sorting protein 1 [Source:MGI Symbol;Acc:MGI:1277113]	29960.4275362319
ENSMUSG00000024856	1636	Cdk2ap2	CDK2-associated protein 2 [Source:MGI Symbol;Acc:MGI:1098779]	20040.027173913
ENSMUSG00000024857	1350	Cabp2	calcium binding protein 2 [Source:MGI Symbol;Acc:MGI:1352749]	28.6014492753623
ENSMUSG00000024858	4476	Grk2	G protein-coupled receptor kinase 2 [Source:MGI Symbol;Acc:MGI:87940]	118265.288043478
ENSMUSG00000024862	4134	Klc2	kinesin light chain 2 [Source:MGI Symbol;Acc:MGI:107953]	25733.4130434783
ENSMUSG00000024866	2043	Acy3	aspartoacylase (aminoacylase) 3 [Source:MGI Symbol;Acc:MGI:1918920]	370.949275362319
ENSMUSG00000024867	4035	Pip5k1b	phosphatidylinositol-4-phosphate 5-kinase, type 1 beta [Source:MGI Symbol;Acc:MGI:107930]	26930.259057971
ENSMUSG00000024868	2427	Dkk1	dickkopf WNT signaling pathway inhibitor 1 [Source:MGI Symbol;Acc:MGI:1329040]	50.911231884058
ENSMUSG00000024869	3904	Gm49405	predicted gene, 49405 [Source:MGI Symbol;Acc:MGI:6155029]	80.8242753623188
ENSMUSG00000024870	2272	Rab1b	RAB1B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1923558]	121445.563405797
ENSMUSG00000024871	3035	Doc2g	double C2, gamma [Source:MGI Symbol;Acc:MGI:1926250]	31.2391304347826
ENSMUSG00000024873	1369	Cnih2	cornichon family AMPA receptor auxiliary protein 2 [Source:MGI Symbol;Acc:MGI:1277225]	213.623188405797
ENSMUSG00000024875	1889	Yif1a	Yip1 interacting factor homolog A (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915340]	14214.6666666667
ENSMUSG00000024878	2911	Cbwd1	COBW domain containing 1 [Source:MGI Symbol;Acc:MGI:2385089]	5537.65036231884
ENSMUSG00000024883	4820	Rin1	Ras and Rab interactor 1 [Source:MGI Symbol;Acc:MGI:2385695]	85684.8405797101
ENSMUSG00000024885	2046	Aldh3b1	aldehyde dehydrogenase 3 family, member B1 [Source:MGI Symbol;Acc:MGI:1914939]	1256.07065217391
ENSMUSG00000024887	11638	Asah2	N-acylsphingosine amidohydrolase 2 [Source:MGI Symbol;Acc:MGI:1859310]	1747.81884057971
ENSMUSG00000024889	2083	Rce1	Ras converting CAAX endopeptidase 1 [Source:MGI Symbol;Acc:MGI:1336895]	5131.32608695652
ENSMUSG00000024891	3018	Slc29a2	solute carrier family 29 (nucleoside transporters), member 2 [Source:MGI Symbol;Acc:MGI:1345278]	4683.69384057971
ENSMUSG00000024892	4753	Pcx	pyruvate carboxylase [Source:MGI Symbol;Acc:MGI:97520]	26604.3405797101
ENSMUSG00000024896	2674	Minpp1	multiple inositol polyphosphate histidine phosphatase 1 [Source:MGI Symbol;Acc:MGI:1336159]	17704.6358695652
ENSMUSG00000024897	6885	Apba1	amyloid beta (A4) precursor protein binding, family  A, member 1 [Source:MGI Symbol;Acc:MGI:1860297]	105379.563405797
ENSMUSG00000024899	3721	Papss2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:MGI Symbol;Acc:MGI:1330223]	81543.9710144928
ENSMUSG00000024900	7642	Cpt1a	carnitine palmitoyltransferase 1a, liver [Source:MGI Symbol;Acc:MGI:1098296]	412006.432971014
ENSMUSG00000024901	4720	Peli3	pellino 3 [Source:MGI Symbol;Acc:MGI:1924963]	8667.97101449275
ENSMUSG00000024902	3229	Mrpl11	mitochondrial ribosomal protein L11 [Source:MGI Symbol;Acc:MGI:2137215]	4215.47644927536
ENSMUSG00000024905	3912	Tesmin	testis expressed metallothionein like [Source:MGI Symbol;Acc:MGI:1340029]	28.6304347826087
ENSMUSG00000024906	3567	Mus81	MUS81 structure-specific endonuclease subunit [Source:MGI Symbol;Acc:MGI:1918961]	4743.99275362319
ENSMUSG00000024907	788	Gal	galanin and GMAP prepropeptide [Source:MGI Symbol;Acc:MGI:95637]	273938.666666667
ENSMUSG00000024908	9378	Ppp6r3	protein phosphatase 6, regulatory subunit 3 [Source:MGI Symbol;Acc:MGI:1921807]	172246.737318841
ENSMUSG00000024909	3788	Efemp2	epidermal growth factor-containing fibulin-like extracellular matrix protein 2 [Source:MGI Symbol;Acc:MGI:1891209]	84352.1286231884
ENSMUSG00000024910	1887	Ctsw	cathepsin W [Source:MGI Symbol;Acc:MGI:1338045]	114.144927536232
ENSMUSG00000024911	4133	Fibp	fibroblast growth factor (acidic) intracellular binding protein [Source:MGI Symbol;Acc:MGI:1926233]	10376.9112318841
ENSMUSG00000024912	2033	Fosl1	fos-like antigen 1 [Source:MGI Symbol;Acc:MGI:107179]	1860148.84057971
ENSMUSG00000024913	9738	Lrp5	low density lipoprotein receptor-related protein 5 [Source:MGI Symbol;Acc:MGI:1278315]	40809.5634057971
ENSMUSG00000024914	1741	Drap1	Dr1 associated protein 1 (negative cofactor 2 alpha) [Source:MGI Symbol;Acc:MGI:1913806]	105158.231884058
ENSMUSG00000024921	14269	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:MGI Symbol;Acc:MGI:99603]	2390525.01449275
ENSMUSG00000024924	10068	Vldlr	very low density lipoprotein receptor [Source:MGI Symbol;Acc:MGI:98935]	243763.731884058
ENSMUSG00000024925	1715	Rnaseh2c	ribonuclease H2, subunit C [Source:MGI Symbol;Acc:MGI:1915459]	4757.08514492754
ENSMUSG00000024926	3509	Kat5	K(lysine) acetyltransferase 5 [Source:MGI Symbol;Acc:MGI:1932051]	23940.8623188406
ENSMUSG00000024927	3072	Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian) [Source:MGI Symbol;Acc:MGI:103290]	332346.911231884
ENSMUSG00000024935	8257	Slc1a1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1 [Source:MGI Symbol;Acc:MGI:105083]	3967.91123188406
ENSMUSG00000024937	6964	Ehbp1l1	EH domain binding protein 1-like 1 [Source:MGI Symbol;Acc:MGI:3612340]	79758.5489130435
ENSMUSG00000024940	9069	Ltbp3	latent transforming growth factor beta binding protein 3 [Source:MGI Symbol;Acc:MGI:1101355]	1821135.21014493
ENSMUSG00000024941	3600	Scyl1	SCY1-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1931787]	78265.384057971
ENSMUSG00000024942	3344	Capn1	calpain 1 [Source:MGI Symbol;Acc:MGI:88263]	23198.347826087
ENSMUSG00000024943	6788	Smc5	structural maintenance of chromosomes 5 [Source:MGI Symbol;Acc:MGI:2385088]	328467.259057971
ENSMUSG00000024944	3456	Arl2	ADP-ribosylation factor-like 2 [Source:MGI Symbol;Acc:MGI:1928393]	11162.4057971014
ENSMUSG00000024947	3835	Men1	multiple endocrine neoplasia 1 [Source:MGI Symbol;Acc:MGI:1316736]	21467.027173913
ENSMUSG00000024948	6654	Map4k2	mitogen-activated protein kinase kinase kinase kinase 2 [Source:MGI Symbol;Acc:MGI:1346883]	6268.69384057971
ENSMUSG00000024949	6211	Sf1	splicing factor 1 [Source:MGI Symbol;Acc:MGI:1095403]	1828110.92753623
ENSMUSG00000024952	3595	Rps6ka4	ribosomal protein S6 kinase, polypeptide 4 [Source:MGI Symbol;Acc:MGI:1930076]	68801.8260869565
ENSMUSG00000024953	2139	Prdx5	peroxiredoxin 5 [Source:MGI Symbol;Acc:MGI:1859821]	229041.362318841
ENSMUSG00000024955	4387	Esrra	estrogen related receptor, alpha [Source:MGI Symbol;Acc:MGI:1346831]	3468.42753623188
ENSMUSG00000024958	3396	Gpr137	G protein-coupled receptor 137 [Source:MGI Symbol;Acc:MGI:2147529]	10718.5797101449
ENSMUSG00000024959	2558	Bad	BCL2-associated agonist of cell death [Source:MGI Symbol;Acc:MGI:1096330]	6897.38405797101
ENSMUSG00000024960	6960	Plcb3	phospholipase C, beta 3 [Source:MGI Symbol;Acc:MGI:104778]	49560.5797101449
ENSMUSG00000024962	1605	Vegfb	vascular endothelial growth factor B [Source:MGI Symbol;Acc:MGI:106199]	58918.8043478261
ENSMUSG00000024963	1240	Dnajc4	DnaJ heat shock protein family (Hsp40) member C4 [Source:MGI Symbol;Acc:MGI:1927346]	3089.41847826087
ENSMUSG00000024965	5784	Fermt3	fermitin family member 3 [Source:MGI Symbol;Acc:MGI:2147790]	3296.75362318841
ENSMUSG00000024966	2108	Stip1	stress-induced phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:109130]	417062.606884058
ENSMUSG00000024968	3157	Rcor2	REST corepressor 2 [Source:MGI Symbol;Acc:MGI:1859854]	1167.9402173913
ENSMUSG00000024969	7942	Mark2	MAP/microtubule affinity regulating kinase 2 [Source:MGI Symbol;Acc:MGI:99638]	92752.4927536232
ENSMUSG00000024970	3753	Spindoc	spindlin interactor and repressor of chromatin binding [Source:MGI Symbol;Acc:MGI:2147611]	7132.73731884058
ENSMUSG00000024972	2773	Lgals12	lectin, galactose binding, soluble 12 [Source:MGI Symbol;Acc:MGI:1929094]	952.461956521739
ENSMUSG00000024974	5541	Smc3	structural maintenance of chromosomes 3 [Source:MGI Symbol;Acc:MGI:1339795]	1118394.26086957
ENSMUSG00000024975	3135	Pdcd4	programmed cell death 4 [Source:MGI Symbol;Acc:MGI:107490]	5523855.62318841
ENSMUSG00000024976	5579	Shoc2	Shoc2, leucine rich repeat scaffold protein [Source:MGI Symbol;Acc:MGI:1927197]	90093.9981884058
ENSMUSG00000024978	6664	Gpam	glycerol-3-phosphate acyltransferase, mitochondrial [Source:MGI Symbol;Acc:MGI:109162]	25102.7753623188
ENSMUSG00000024981	4864	Acsl5	acyl-CoA synthetase long-chain family member 5 [Source:MGI Symbol;Acc:MGI:1919129]	137827.302536232
ENSMUSG00000024982	8284	Zdhhc6	zinc finger, DHHC domain containing 6 [Source:MGI Symbol;Acc:MGI:1914230]	32477.6938405797
ENSMUSG00000024983	12304	Vti1a	vesicle transport through interaction with t-SNAREs 1A [Source:MGI Symbol;Acc:MGI:1855699]	38945.731884058
ENSMUSG00000024985	8775	Tcf7l2	transcription factor 7 like 2, T cell specific, HMG box [Source:MGI Symbol;Acc:MGI:1202879]	48454.1721014493
ENSMUSG00000024986	5056	Hhex	hematopoietically expressed homeobox [Source:MGI Symbol;Acc:MGI:96086]	80.5489130434783
ENSMUSG00000024987	1983	Cyp26a1	cytochrome P450, family 26, subfamily a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1096359]	343513.519927536
ENSMUSG00000024989	2905	Cep55	centrosomal protein 55 [Source:MGI Symbol;Acc:MGI:1921357]	8438.51992753623
ENSMUSG00000024990	1343	Rbp4	retinol binding protein 4, plasma [Source:MGI Symbol;Acc:MGI:97879]	20184.2445652174
ENSMUSG00000024991	8731	Eif3a	eukaryotic translation initiation factor 3, subunit A [Source:MGI Symbol;Acc:MGI:95301]	28717118.0869565
ENSMUSG00000024992	2970	Pde6c	phosphodiesterase 6C, cGMP specific, cone, alpha prime [Source:MGI Symbol;Acc:MGI:105956]	4501.32608695652
ENSMUSG00000024993	6242	Fam45a	family with sequence similarity 45, member A [Source:MGI Symbol;Acc:MGI:1915144]	15790.6014492754
ENSMUSG00000024997	1478	Prdx3	peroxiredoxin 3 [Source:MGI Symbol;Acc:MGI:88034]	41128.5144927536
ENSMUSG00000024998	15998	Plce1	phospholipase C, epsilon 1 [Source:MGI Symbol;Acc:MGI:1921305]	685582.231884058
ENSMUSG00000024999	3977	Noc3l	NOC3 like DNA replication regulator [Source:MGI Symbol;Acc:MGI:1932610]	75932.4275362319
ENSMUSG00000025001	7205	Hells	helicase, lymphoid specific [Source:MGI Symbol;Acc:MGI:106209]	212056.688405797
ENSMUSG00000025006	14225	Sorbs1	sorbin and SH3 domain containing 1 [Source:MGI Symbol;Acc:MGI:700014]	652993.239130435
ENSMUSG00000025007	4072	Aldh18a1	aldehyde dehydrogenase 18 family, member A1 [Source:MGI Symbol;Acc:MGI:1888908]	148143.623188406
ENSMUSG00000025008	3273	Tctn3	tectonic family member 3 [Source:MGI Symbol;Acc:MGI:1914840]	3751.15760869565
ENSMUSG00000025010	4355	Ccnj	cyclin J [Source:MGI Symbol;Acc:MGI:2443297]	2218.51449275362
ENSMUSG00000025013	4732	Tll2	tolloid-like 2 [Source:MGI Symbol;Acc:MGI:1346044]	1272.67934782609
ENSMUSG00000025016	8096	Tm9sf3	transmembrane 9 superfamily member 3 [Source:MGI Symbol;Acc:MGI:1914262]	1543302.84057971
ENSMUSG00000025017	5572	Pik3ap1	phosphoinositide-3-kinase adaptor protein 1 [Source:MGI Symbol;Acc:MGI:1933177]	10240.9112318841
ENSMUSG00000025019	12765	Lcor	ligand dependent nuclear receptor corepressor [Source:MGI Symbol;Acc:MGI:2443930]	286431.557971014
ENSMUSG00000025020	5921	Slit1	slit guidance ligand 1 [Source:MGI Symbol;Acc:MGI:1315203]	448.173913043478
ENSMUSG00000025024	2477	Smndc1	survival motor neuron domain containing 1 [Source:MGI Symbol;Acc:MGI:1923729]	58338.3025362319
ENSMUSG00000025025	6823	Mxi1	MAX interactor 1, dimerization protein [Source:MGI Symbol;Acc:MGI:97245]	131054.601449275
ENSMUSG00000025026	6380	Add3	adducin 3 (gamma) [Source:MGI Symbol;Acc:MGI:1351615]	1343324.57971015
ENSMUSG00000025027	9234	Xpnpep1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble [Source:MGI Symbol;Acc:MGI:2180003]	123743.884057971
ENSMUSG00000025034	3709	Trim8	tripartite motif-containing 8 [Source:MGI Symbol;Acc:MGI:1933302]	1528940.99818841
ENSMUSG00000025035	2490	Arl3	ADP-ribosylation factor-like 3 [Source:MGI Symbol;Acc:MGI:1929699]	93527.7971014493
ENSMUSG00000025036	5815	Sfxn2	sideroflexin 2 [Source:MGI Symbol;Acc:MGI:2137678]	2685.9981884058
ENSMUSG00000025037	4167	Maoa	monoamine oxidase A [Source:MGI Symbol;Acc:MGI:96915]	8118.34057971014
ENSMUSG00000025038	2554	Efhc2	EF-hand domain (C-terminal) containing 2 [Source:MGI Symbol;Acc:MGI:1921655]	200.73731884058
ENSMUSG00000025040	2353	Fundc1	FUN14 domain containing 1 [Source:MGI Symbol;Acc:MGI:1919268]	23625.259057971
ENSMUSG00000025041	11037	Nt5c2	5'-nucleotidase, cytosolic II [Source:MGI Symbol;Acc:MGI:2178563]	72805.0706521739
ENSMUSG00000025044	6344	Msr1	macrophage scavenger receptor 1 [Source:MGI Symbol;Acc:MGI:98257]	28833.5489130435
ENSMUSG00000025047	9756	Pdcd11	programmed cell death 11 [Source:MGI Symbol;Acc:MGI:1341788]	212908.688405797
ENSMUSG00000025049	3260	Taf5	TATA-box binding protein associated factor 5 [Source:MGI Symbol;Acc:MGI:2442144]	1134.82427536232
ENSMUSG00000025050	5027	Pcgf6	polycomb group ring finger 6 [Source:MGI Symbol;Acc:MGI:1918291]	7528.38949275362
ENSMUSG00000025059	7743	Gk	glycerol kinase [Source:MGI Symbol;Acc:MGI:106594]	20036.1449275362
ENSMUSG00000025060	8356	Slk	STE20-like kinase [Source:MGI Symbol;Acc:MGI:103241]	1122581.55797101
ENSMUSG00000025064	6011	Col17a1	collagen, type XVII, alpha 1 [Source:MGI Symbol;Acc:MGI:88450]	3181.6231884058
ENSMUSG00000025066	1915	Sfr1	SWI5 dependent recombination repair 1 [Source:MGI Symbol;Acc:MGI:1915038]	227489.81884058
ENSMUSG00000025068	2023	Gsto1	glutathione S-transferase omega 1 [Source:MGI Symbol;Acc:MGI:1342273]	62646.6304347826
ENSMUSG00000025069	2349	Gsto2	glutathione S-transferase omega 2 [Source:MGI Symbol;Acc:MGI:1915464]	236.389492753623
ENSMUSG00000025076	4403	Casp7	caspase 7 [Source:MGI Symbol;Acc:MGI:109383]	13287.5634057971
ENSMUSG00000025077	6384	Dclre1a	DNA cross-link repair 1A [Source:MGI Symbol;Acc:MGI:1930042]	4428.15760869565
ENSMUSG00000025078	8718	Nhlrc2	NHL repeat containing 2 [Source:MGI Symbol;Acc:MGI:1914116]	162546.635869565
ENSMUSG00000025083	5675	Afap1l2	actin filament associated protein 1-like 2 [Source:MGI Symbol;Acc:MGI:2147658]	49209.1141304348
ENSMUSG00000025085	11949	Ablim1	actin-binding LIM protein 1 [Source:MGI Symbol;Acc:MGI:1194500]	1083311.80978261
